MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
Ja1-D4_megahit_metabat_bin-695,bin-695:087/226_1,Cyc2_repCluster1,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-695,bin-695:028/226_11,DFE_0461,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-695,bin-695:190/226_21,DFE_0462,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-211,bin-211:620/646_1,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC,Not_found,ExtC_pcc_lp_cyt&Outer_Surface_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-211,bin-211:620/646_2,ExtB_porin,PCC_porin,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-211,bin-211:443/646_3,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC,Not_found,ExtC_pcc_lp_cyt&Outer_Surface_MHC_in_PCC&Periplasmic_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-211,bin-211:443/646_4,ExtB_porin,PCC_porin,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-211,bin-211:047/646_1,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-211,bin-211:289/646_2,ExtC_pcc_lp_cyt,Periplasmic_MHC_in_PCC,Not_found,ExtC_pcc_lp_cyt&Outer_Surface_MHC_in_PCC&Periplasmic_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-211,bin-211:289/646_1,640549330_YP_001230602_{porin}_hypothetical_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-211,bin-211:289/646_3,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Outer_Surface_MHC,Not_found,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483]&Outer_Surface_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-211,bin-211:443/646_2,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Outer_Surface_MHC_in_PCC,Not_found,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483]&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-211,bin-211:047/646_2,DFE_0448,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-211,bin-211:067/646_2,DFE_0461,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-211,bin-211:148/646_2,DFE_0461,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-211,bin-211:306/646_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-211,bin-211:339/646_3,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-211,bin-211:375/646_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-272,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-063,bin-063:0994/1008_1,CbcB,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-063,bin-063:0319/1008_2,MtoA,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-063,bin-063:0474/1008_2,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-063,bin-063:0608/1008_4,DFE_0465,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-063,bin-063:0848/1008_2,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-063,bin-063:0994/1008_2,DFE_0449,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-205,bin-205:118/249_61,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-205,bin-205:122/249_18,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-205,bin-205:167/249_2,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-205,bin-205:167/249_3,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-205,bin-205:087/249_40,637864946_YP_466595_{porin}_hypothetical_protein_[Anaeromyxobacter_dehalogenans_2CP-C:_NC_007760],PCC_porin,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-205,bin-205:087/249_41,637864947_YP_466596_{pc}_hypothetical_protein_[Anaeromyxobacter_dehalogenans_2CP-C:_NC_007760],Outer_Surface_MHC_in_PCC,Not_found,637864947_YP_466596_{pc}_hypothetical_protein_[Anaeromyxobacter_dehalogenans_2CP&,
Ja1-D4_megahit_metabat_bin-205,bin-205:021/249_33,DFE_0449,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-205,bin-205:072/249_12,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-205,bin-205:087/249_39,DFE_0462,Outer_Surface_MHC_in_PCC,Not_found,2514223670_filler_{omc}_Geobacter_sulfurreducens_CxxxxCH...CXXCH_domain&DFE_0462&Outer_Surface_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-205,bin-205:088/249_18,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-205,bin-205:101/249_36,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-205,bin-205:101/249_53,DFE_0461,Not_found,nrfH,Irrelevant
Ja1-D4_megahit_metabat_bin-205,bin-205:118/249_59,DFE_0448,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-205,bin-205:120/249_33,DFE_0462,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-205,bin-205:120/249_34,DFE_0462,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-205,bin-205:038/249_30,Not_found,Outer_Surface_MHC,nrfA,nrfA&Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-205,bin-205:068/249_52,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-205,bin-205:122/249_12,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-205,bin-205:182/249_22,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-000,bin-000:253/397_18,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-000,bin-000:228/397_12,Cyc2_repCluster1,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-000,bin-000:061/397_2,ImcH,Not_found,Not_found,ImcH&,
Ja1-D4_megahit_metabat_bin-393,bin-393:456/765_2,FoxY,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-393,bin-393:456/765_3,FoxE,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-393,bin-393:320/765_4,MtoA,Not_found,Not_found,MtoA&,
Ja1-D4_megahit_metabat_bin-393,bin-393:320/765_5,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-393,bin-393:354/765_2,CbcB,Not_found,Not_found,Irrelevant
