MAG,orf,FeGenie_HMM,Shaomei_Type
Ki3-D2_megahit_metabat_bin-2083,bin-2083:070/145_108,ImcH,Not found
Ki3-D2_megahit_metabat_bin-2083,bin-2083:070/145_99,DFE_0461,Not found
Ki3-D2_megahit_metabat_bin-1874,bin-1874:330/404_7,DFE_0461,Not found
Ki3-D2_megahit_metabat_bin-0885,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0761,bin-0761:281/389_3,DFE_0449,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-0761,bin-0761:053/389_2,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-0457,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0965,bin-0965:040/236_47,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-0965,bin-0965:094/236_26,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-2366,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0340,bin-0340:564/954_10,CbcB,Not found
Ki3-D2_megahit_metabat_bin-0340,bin-0340:028/954_1,CbcL,Not found
Ki3-D2_megahit_metabat_bin-0340,bin-0340:073/954_5,DFE_0449,Not found
Ki3-D2_megahit_metabat_bin-0340,bin-0340:137/954_1,,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-0340,bin-0340:223/954_1,MtrC_TIGR03507,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-0340,bin-0340:223/954_2,MtoA,Periplasmic MHC in PCC
Ki3-D2_megahit_metabat_bin-0340,bin-0340:564/954_9,DFE_0461,Not found
Ki3-D2_megahit_metabat_bin-0340,bin-0340:622/954_1,DFE_0461,Outer Surface MHC in PCC
Ki3-D2_megahit_metabat_bin-0340,bin-0340:866/954_4,DFE_0462,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-0340,bin-0340:871/954_7,MtoA,Not found
Ki3-D2_megahit_metabat_bin-0340,bin-0340:622/954_2,Not found,PCC porin
Ki3-D2_megahit_metabat_bin-0484,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1937,bin-1937:0319/1010_2,ImcH,Not found
Ki3-D2_megahit_metabat_bin-1937,bin-1937:0016/1010_22,DFE_0461,Not found
Ki3-D2_megahit_metabat_bin-1937,bin-1937:0572/1010_10,DFE_0461,Not found
Ki3-D2_megahit_metabat_bin-1992,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1458,bin-1458:859/981_2,sulfocyanin,Not found
Ki3-D2_megahit_metabat_bin-0883,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1405,bin-1405:269/564_11,MtoA,Not found
Ki3-D2_megahit_metabat_bin-2057,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-2164,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1078,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1290,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-2042,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1797,bin-1797:377/486_4,Cyc2_repCluster2,Not found
Ki3-D2_megahit_metabat_bin-1797,bin-1797:194/486_8,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-0450,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1557,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0575,bin-0575:0921/1073_2,Cyc2_repCluster2,Not found
Ki3-D2_megahit_metabat_bin-0575,bin-0575:0297/1073_1,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-0961,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1535,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0657,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0825,bin-0825:104/147_5,FoxZ,Not found
Ki3-D2_megahit_metabat_bin-1311,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-2036,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0481,Not found,Not found,Not found
